transaction_id,batch_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash
"TX001","BATCH001","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","INDIA","120.58","01/01/2020","01/03/2020","01/10/2020","RECEIVED","0","adc3e614bb0aab2b6927a5374535132499fa009306dd3bfb20355b24f6cf4bba"
"TX002","BATCH001","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","INDIA","110.58","01/02/2020","01/04/2020","01/11/2020","RECEIVED","adc3e614bb0aab2b6927a5374535132499fa009306dd3bfb20355b24f6cf4bba","50a81e299be524132267239062164474e588dfc253c4000fe2f052a8c4289ca8"
"TX003","BATCH001","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","INDIA","110.58","01/03/2020","01/05/2020","01/12/2020","RECEIVED","50a81e299be524132267239062164474e588dfc253c4000fe2f052a8c4289ca8","9dc38e4221e48951ebb6ddaba9a24ebe09e485ebf098b387417857eea3452b7a"
"TX004","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","20.5","02/01/2020","02/03/2020","02/10/2020","RECEIVED","9dc38e4221e48951ebb6ddaba9a24ebe09e485ebf098b387417857eea3452b7a","406cf7f210c0ef18a8fefb6b8ff272481ad03c49ace2db74f92df8bbf61f493a"
"TX005","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","18.75","02/02/2020","02/04/2020","02/11/2020","RECEIVED","406cf7f210c0ef18a8fefb6b8ff272481ad03c49ace2db74f92df8bbf61f493a","544e50972b3759547cc23ace05ecbd9da0cc3b7d4668f676d9c088ad5944b17c"
"TX006","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","22.1","02/03/2020","02/05/2020","02/12/2020","RECEIVED","544e50972b3759547cc23ace05ecbd9da0cc3b7d4668f676d9c088ad5944b17c","7ad21b0aa9f1f9e6aeb5385dc63a42037332cd3bb85533ffd5937bb8e4136738"
"TX007","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","17.48","02/04/2020","02/06/2020","2/13/2020","RECEIVED","7ad21b0aa9f1f9e6aeb5385dc63a42037332cd3bb85533ffd5937bb8e4136738","18bf688807c6360f3145aa248d5febd609a1b9398115e83344ce314a959fa5bf"
"TX008","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","19","02/05/2020","02/07/2020","2/14/2020","RECEIVED","18bf688807c6360f3145aa248d5febd609a1b9398115e83344ce314a959fa5bf","297c00dc372f2180a626dbc599970ce08d6fa74391a1fa3f565536f7a8986bfe"
"TX009","BATCH002","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","MALAYSIA","17.99","02/06/2020","02/08/2020","2/15/2020","RECEIVED","297c00dc372f2180a626dbc599970ce08d6fa74391a1fa3f565536f7a8986bfe","5a71a4307636ec0febb347564d09527660dcff99b5bb956ffa21a03efbef1014"
"TX010","BATCH003","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","NETHERLANDS","15.5","03/01/2020","03/03/2020","03/10/2020","RECEIVED","5a71a4307636ec0febb347564d09527660dcff99b5bb956ffa21a03efbef1014","0fbc5fce3d63ce83b375c198aa14b9059ea6223d85d7f643208d9e337751132d"
"TX011","BATCH003","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","NETHERLANDS","18.2","03/02/2020","03/04/2020","03/11/2020","RECEIVED","0fbc5fce3d63ce83b375c198aa14b9059ea6223d85d7f643208d9e337751132d","5e088e8595450c285d3f3d235018d1c5f0d3c4ba6694c569302614c716d2f6dd"
"TX012","BATCH003","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","NETHERLANDS","16.75","03/03/2020","03/05/2020","03/12/2020","RECEIVED","5e088e8595450c285d3f3d235018d1c5f0d3c4ba6694c569302614c716d2f6dd","547920e54a9d922726b24c8d589e0570702864331f6aea17486c180ea7c0b715"
"TX013","BATCH003","ANGLO-EASTERN PLANTATION (AEP)","GIDEON AGRI","GRESIK","NETHERLANDS","14.3","03/04/2020","03/06/2020","3/13/2020","RECEIVED","547920e54a9d922726b24c8d589e0570702864331f6aea17486c180ea7c0b715","a63259d1ca6c0150980822bf50bc1fd6269939b6a7a169b86cc580c957908d28"
