transaction_id,exporter,importer,port,country,volume,created_at,previous_hash,current_hash
TX001,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,490.2897426,1/1/2021,0,d14d6a53071b07970042f03141d2822329d1179648f819c726b1ff0c9c049393
TX002,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,91.96242814,1/3/2021,d14d6a53071b07970042f03141d2822329d1179648f819c726b1ff0c9c049393,82701409fc5000dd7e9069abc00b161992a7f2ea9e3b9fcf8fcfa3b5f32a7f34
TX003,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,78.19981064,1/5/2021,82701409fc5000dd7e9069abc00b161992a7f2ea9e3b9fcf8fcfa3b5f32a7f34,e08c129a8344e6db1c6927b94b89d31384e274d7ff65760ccfb4b15512751d01
TX004,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,14.44534919,1/6/2021,e08c129a8344e6db1c6927b94b89d31384e274d7ff65760ccfb4b15512751d01,87f446072a29a44700f42c5678ffea51e5d720a15aaa3c5f73f6c8f5db05fee5
TX005,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,910.6549334,1/8/2021,87f446072a29a44700f42c5678ffea51e5d720a15aaa3c5f73f6c8f5db05fee5,18b1a95423d32d086c0224c3c966cb19f93228eefa3292dc9298573c003ed2f1
TX006,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,1645.278186,1/11/2021,18b1a95423d32d086c0224c3c966cb19f93228eefa3292dc9298573c003ed2f1,27846869df6b78b7692e89ac1604dcb179f01e518a9e2396a32f1f051d421d41
TX007,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,84.46047746,1/12/2021,27846869df6b78b7692e89ac1604dcb179f01e518a9e2396a32f1f051d421d41,d8869a97e9c348891120eb440bb50e433ebd7e756233223852e8ece4d153958e
TX008,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,674.0043313,1/15/2021,d8869a97e9c348891120eb440bb50e433ebd7e756233223852e8ece4d153958e,a281b07f4bb93c6a924147cff436f60e8f7d67980ef93b9f1e10d3b0be1d908b
TX009,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,717.375203,1/16/2021,a281b07f4bb93c6a924147cff436f60e8f7d67980ef93b9f1e10d3b0be1d908b,5810a91300c41cb6dce6bd4c26a9f62db287e8585761a1b20bd96cc9b5073924
TX010,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,434.6542905,1/18/2021,5810a91300c41cb6dce6bd4c26a9f62db287e8585761a1b20bd96cc9b5073924,6b5b039eda7212f6c7cd755bc561d5143e704185ade04f7e63fba5c1e0ee7a47
TX011,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,29.66337354,1/20/2021,6b5b039eda7212f6c7cd755bc561d5143e704185ade04f7e63fba5c1e0ee7a47,5128acf832e9199d3042b416bb4c2971d0bda189834b5b6f1edf1634eafc23b6
TX012,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,936.5395525,1/23/2021,5128acf832e9199d3042b416bb4c2971d0bda189834b5b6f1edf1634eafc23b6,6fd93b1d31f0f6aa9683d27a85974dac263832f50bc40c9110687d525e1ddc89
TX013,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,738.5579669,1/24/2021,6fd93b1d31f0f6aa9683d27a85974dac263832f50bc40c9110687d525e1ddc89,63c12f697f05cf11b760a7412fb4c6a8e140bee445779004d7941727031f13b9
TX014,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,553.4157334,1/25/2021,63c12f697f05cf11b760a7412fb4c6a8e140bee445779004d7941727031f13b9,a656dffdbf13ff6909e8931bb55bb70eb661cb68976f1807d223db78e1853a6e
TX015,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,66.80631366,1/26/2021,a656dffdbf13ff6909e8931bb55bb70eb661cb68976f1807d223db78e1853a6e,f39b4ba83cb8b8e035ca1b417477ac4608ab1acc4850fa7d766dc1b435b5019c
TX016,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,502.3919869,1/29/2021,f39b4ba83cb8b8e035ca1b417477ac4608ab1acc4850fa7d766dc1b435b5019c,db1db09f129d0ede97d7a9d7d632ca424a5ac8b5cec153995b4cab4335269c83
TX017,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,115.8304548,1/31/2021,db1db09f129d0ede97d7a9d7d632ca424a5ac8b5cec153995b4cab4335269c83,e6094f462aa8adc57c9eedb470f3aa4feedb7ba680ef6230fae28c34dba623c0
TX018,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,74.72865906,2/1/2021,e6094f462aa8adc57c9eedb470f3aa4feedb7ba680ef6230fae28c34dba623c0,125fa451bbe2e4f04e2763953e923bbc80ea2f284468f1ea78bd8bd06c5f3c0f
TX019,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,875.3937007,2/4/2021,125fa451bbe2e4f04e2763953e923bbc80ea2f284468f1ea78bd8bd06c5f3c0f,cc8e34bda78636f209883a4f8642a50f207132ab3cf2e78738ed116e248ba90c
TX020,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,691.8717904,2/5/2021,cc8e34bda78636f209883a4f8642a50f207132ab3cf2e78738ed116e248ba90c,1459dfe5aade121c510b07b35f5578dc7023abfdf5a550e4c4bc180d6371a522
TX021,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,943.27174,2/7/2021,1459dfe5aade121c510b07b35f5578dc7023abfdf5a550e4c4bc180d6371a522,d74f5eba552c76dcf26a62f5c839d5d42227a28cb9f76202215fbd91b911ec38
TX022,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,498.986558,2/10/2021,d74f5eba552c76dcf26a62f5c839d5d42227a28cb9f76202215fbd91b911ec38,9490ab8b0a8eed1d7eb873548156bdb25238ebddd97931419e15c3bcd8a6298a
TX023,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,161.3428702,2/13/2021,9490ab8b0a8eed1d7eb873548156bdb25238ebddd97931419e15c3bcd8a6298a,a22693e8af3f5512e7c297ce236901ee2a34d481bdd91d0d741cc3810efe2242
TX024,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,2009.929872,2/16/2021,a22693e8af3f5512e7c297ce236901ee2a34d481bdd91d0d741cc3810efe2242,60a4ca4e3dcb1d8729f9ff47de65f7381947292a816d52295842350af2a7d491
TX025,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,0.765555832,2/18/2021,60a4ca4e3dcb1d8729f9ff47de65f7381947292a816d52295842350af2a7d491,6b5ff626b2fc76ede274aa391aaa2a065eaf2c418fe013a4e52540ccd4b4fe35
TX026,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,510.4681439,2/20/2021,6b5ff626b2fc76ede274aa391aaa2a065eaf2c418fe013a4e52540ccd4b4fe35,abfb660989326746f4276c53b59d366fd64aea5c029163e1f47c64346f723ad1
TX027,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,1.336872169,2/23/2021,abfb660989326746f4276c53b59d366fd64aea5c029163e1f47c64346f723ad1,c04c04fe950a4a663f14510c33899c0d7a10883760e69e080fbdb9b442d13d57
TX028,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,160.1458511,2/24/2021,c04c04fe950a4a663f14510c33899c0d7a10883760e69e080fbdb9b442d13d57,de42e2631419237d24676834cd75f42f5aa82c84de8df82a2075ff4a3318dced
TX029,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,494.2862435,2/26/2021,de42e2631419237d24676834cd75f42f5aa82c84de8df82a2075ff4a3318dced,d912f48e7d536fd3a07a03aa8645de7084909e4da514e80d7036805a2db6ca19
TX030,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,36.82655468,2/27/2021,d912f48e7d536fd3a07a03aa8645de7084909e4da514e80d7036805a2db6ca19,b52ec3a0831fe679175702481b92b174d5e85b54794dd2f0f607bdf64a358b96
TX031,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,83.05236637,2/28/2021,b52ec3a0831fe679175702481b92b174d5e85b54794dd2f0f607bdf64a358b96,eb09a68a1022ce9d0f9eb5820242d867f125049b6baa550693d042a91b5cf27b
TX032,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,134.2371922,3/1/2021,eb09a68a1022ce9d0f9eb5820242d867f125049b6baa550693d042a91b5cf27b,832148acbee6076137f5840b42c9c6a561ff3bc80d826e812a8737e32718c538
TX033,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,106.3710369,3/4/2021,832148acbee6076137f5840b42c9c6a561ff3bc80d826e812a8737e32718c538,08383c5939fb57bd9f41baff46275693072201a7ad8be3b4b417ab7a5c556bf8
TX034,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,142.0817445,3/6/2021,08383c5939fb57bd9f41baff46275693072201a7ad8be3b4b417ab7a5c556bf8,76814936cc1d524a941a254b9c3a53d9f33b14b54d7396ce404608c3d21d9815
TX035,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,423.888911,3/8/2021,76814936cc1d524a941a254b9c3a53d9f33b14b54d7396ce404608c3d21d9815,0848c2ea7e3f1f9e2751a5b7749f0bd8b26d7eb3f9f454145295530b682322ae
TX036,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,566.1961913,3/9/2021,0848c2ea7e3f1f9e2751a5b7749f0bd8b26d7eb3f9f454145295530b682322ae,7560c91b48b5c11ddf943307bdfe13613a4a78f89cad578ea7de3720f446bf68
TX037,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,314.3270515,3/11/2021,7560c91b48b5c11ddf943307bdfe13613a4a78f89cad578ea7de3720f446bf68,270fd36b83b8257761dec758bc12043eb58fd0f5e08d9fef499dcdaf1465a2df
TX038,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,335.3834539,3/12/2021,270fd36b83b8257761dec758bc12043eb58fd0f5e08d9fef499dcdaf1465a2df,2d16dfa001e2de8bee516a2f364403a6ae80ecb7ddc3bb5126958fac87129356
TX039,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,519.1260032,3/14/2021,2d16dfa001e2de8bee516a2f364403a6ae80ecb7ddc3bb5126958fac87129356,c4b9d6678c8818c4597371a331a0d66e56c29053b5e79db87b312575a21249f7
TX040,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,369.3255905,3/15/2021,c4b9d6678c8818c4597371a331a0d66e56c29053b5e79db87b312575a21249f7,ca1c2209813dc1da935259cb67de9f9074f6b2837966c049aafb30eb3b49180e
TX041,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,707.5123799,3/16/2021,ca1c2209813dc1da935259cb67de9f9074f6b2837966c049aafb30eb3b49180e,08c6dc520f297071fcd54ae0a217dc4434a67ed83f7b411d22764fa5f4309287
TX042,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,139.7497263,3/17/2021,08c6dc520f297071fcd54ae0a217dc4434a67ed83f7b411d22764fa5f4309287,fbfa6f80bc6acec640c440a420eaa67a3175291a3e0c28f3bd489a2741d208a5
TX043,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,391.781,3/18/2021,fbfa6f80bc6acec640c440a420eaa67a3175291a3e0c28f3bd489a2741d208a5,05350967400ffdab54914b10bd0751b7707dfe84aaa611735b6b32d10afdfa3e
TX044,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,257.484064,3/21/2021,05350967400ffdab54914b10bd0751b7707dfe84aaa611735b6b32d10afdfa3e,41ff52d8e05b50be1bbe59ce8cb2795ea46d835db4b9e372866d55b3e73ba575
TX045,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,64.3718,3/23/2021,41ff52d8e05b50be1bbe59ce8cb2795ea46d835db4b9e372866d55b3e73ba575,684b52cb508a920a919761cfe5c2eeafd28f6553afe29e8e051c93acd65691be
TX046,KARYAINDAH ALAM SEJAHTERA,GRESIK,GIDEON AGRI,INDIA,8.657859321,3/25/2021,684b52cb508a920a919761cfe5c2eeafd28f6553afe29e8e051c93acd65691be,3b6a93d7822fba1d4b043a7fcf43dab0af2cdb189fc30961b7d7fcfdcaf0a54d
