transaction_id,exporter,importer,port,country,volume,created_at,shipped_at,received_at,status,previous_hash,current_hash,,,,,
TX001,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,22.34844236,1/1/2019,1/3/2019,1/10/2019,RECEIVED,,,,,,,
TX002,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,621.2866975,1/2/2019,1/4/2019,1/11/2019,RECEIVED,,,,,,,
TX003,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,37.24740393,1/4/2019,1/6/2019,1/13/2019,RECEIVED,,,,,,,
TX004,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,586.2741378,1/5/2019,1/7/2019,1/14/2019,RECEIVED,,,,,,,
TX005,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,6.704532707,1/7/2019,1/9/2019,1/16/2019,RECEIVED,,,,,,,
TX006,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,26.90905378,1/9/2019,1/11/2019,1/18/2019,RECEIVED,,,,,,,
TX007,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,748.0716951,1/11/2019,1/13/2019,1/20/2019,RECEIVED,,,,,,,
TX008,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,44.84842297,1/12/2019,1/14/2019,1/21/2019,RECEIVED,,,,,,,
TX009,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,705.9141775,1/13/2019,1/15/2019,1/22/2019,RECEIVED,,,,,,,
TX010,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,8.072716134,1/14/2019,1/16/2019,1/23/2019,RECEIVED,,,,,,,
TX011,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,5.546455772,1/16/2019,1/18/2019,1/25/2019,RECEIVED,,,,,,,
TX012,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,154.1914705,1/18/2019,1/20/2019,1/27/2019,RECEIVED,,,,,,,
TX013,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,9.244092953,1/20/2019,1/22/2019,1/29/2019,RECEIVED,,,,,,,
TX014,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,145.5020231,1/21/2019,1/23/2019,1/30/2019,RECEIVED,,,,,,,
TX015,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,1.663936731,1/22/2019,1/24/2019,1/31/2019,RECEIVED,,,,,,,
TX016,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,0.782527596,1/23/2019,1/25/2019,2/1/2019,RECEIVED,,,,,,,
TX017,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,21.75426718,1/24/2019,1/26/2019,2/2/2019,RECEIVED,,,,,,,
TX018,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,1.304212661,1/25/2019,1/27/2019,2/3/2019,RECEIVED,,,,,,,
TX019,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,20.52830728,1/27/2019,1/29/2019,2/5/2019,RECEIVED,,,,,,,
TX020,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.234758279,1/28/2019,1/30/2019,2/6/2019,RECEIVED,,,,,,,
TX021,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,1.044200619,1/30/2019,2/1/2019,2/8/2019,RECEIVED,,,,,,,
TX022,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,29.02877722,1/31/2019,2/2/2019,2/9/2019,RECEIVED,,,,,,,
TX023,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,1.740334366,2/1/2019,2/3/2019,2/10/2019,RECEIVED,,,,,,,
TX024,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,27.39286292,2/3/2019,2/5/2019,2/12/2019,RECEIVED,,,,,,,
TX025,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,0.313260186,2/5/2019,2/7/2019,2/14/2019,RECEIVED,,,,,,,
TX026,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,GERMANY,45.0362317,2/7/2019,2/9/2019,2/16/2019,RECEIVED,,,,,,,
TX027,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,INDIA,1252.007241,2/9/2019,2/11/2019,2/18/2019,RECEIVED,,,,,,,
TX028,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,MALAYSIA,75.06038617,2/11/2019,2/13/2019,2/20/2019,RECEIVED,,,,,,,
TX029,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,NETHERLANDS,1181.450478,2/12/2019,2/14/2019,2/21/2019,RECEIVED,,,,,,,
TX030,KARYAINDAH ALAM SEJAHTERA,GIDEON AGRI,GRESIK,UNITED STATES,13.51086951,2/14/2019,2/16/2019,2/23/2019,RECEIVED,,,,,,,
